Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2016,4,169274,1451.0,170725,13
2016,4,97390,0.0,97390,14
2016,4,111723,2112.0,113835,15
2016,4,100020,1000.0,101020,16
2016,4,106934,1.0,106935,17
2016,4,51301,620.0,51921,18
2016,4,12992,315.0,13307,19
2016,4,26094,370.0,26464,20
2016,4,561470,362.0,561832,21
2016,4,35049,2.0,35051,22
2016,4,31938,619.0,32557,23
2016,4,151615,37.0,151652,24
2016,3,3075387,11205.0,3086592,1
2016,3,1395053,8051.0,1403104,2
2016,3,26957,13.0,26970,3
2016,3,89216,14.0,89230,4
2016,3,62222,1730.0,63952,5
2016,3,642458,133.0,642591,6
2016,3,88328,12.0,88340,7
2016,3,181092,57.0,181149,8
2016,3,27716,0.0,27716,9
2016,3,42537,1.0,42538,10
2016,3,69903,461.0,70364,11
2016,3,16912,18.0,16930,12
2016,3,169174,1450.0,170624,13
2016,3,97997,0.0,97997,14
2016,3,110491,2112.0,112603,15
2016,3,100024,1002.0,101026,16
2016,3,107790,1.0,107791,17
2016,3,51348,620.0,51968,18
2016,3,12978,315.0,13293,19
2016,3,25886,371.0,26257,20
2016,3,566625,386.0,567011,21
2016,3,35658,2.0,35660,22
2016,3,31306,619.0,31925,23
2016,3,151282,37.0,151319,24
2016,2,3032776,12515.0,3045291,1
2016,2,1384824,9760.0,1394584,2
2016,2,26543,13.0,26556,3
2016,2,88235,16.0,88251,4
2016,2,62116,1740.0,63856,5
2016,2,634680,234.0,634914,6
2016,2,86932,24.0,86956,7
2016,2,178194,179.0,178373,8
2016,2,28801,1.0,28802,9
2016,2,41187,2.0,41189,10
2016,2,68403,485.0,68888,11
2016,2,16718,18.0,16736,12
2016,2,169274,1550.0,170824,13
2016,2,95808,7.0,95815,14
2016,2,108224,2291.0,110515,15
2016,2,99631,1073.0,100704,16
2016,2,104929,3.0,104932,17
2016,2,51392,621.0,52013,18
2016,2,12939,317.0,13256,19
2016,2,25797,356.0,26153,20
2016,2,563867,607.0,564474,21
2016,2,36958,3.0,36961,22
2016,2,30740,619.0,31359,23
2016,2,148636,41.0,148677,24
2016,1,2929903,12612.0,2942515,1
2016,1,1328079,9817.0,1337896,2
2016,1,26376,13.0,26389,3
2016,1,86635,16.0,86651,4
2016,1,62060,1740.0,63800,5
2016,1,609692,234.0,609926,6
2016,1,85510,26.0,85536,7
