Año,Trimestre,Provincia,Accesos por cada 100 hogares
2014,3,Capital Federal,113.8
2014,3,Catamarca,24.71
2014,3,Chaco,21.11
2014,3,Chubut,40.6
2014,3,Córdoba,54.23
2014,3,Corrientes,22.79
2014,3,Entre Ríos,34.98
2014,3,Formosa,17.77
2014,3,Jujuy,18.37
2014,3,La Pampa,55.78
2014,3,La Rioja,16.51
2014,3,Mendoza,32.31
2014,3,Misiones,23.57
2014,3,Neuquén,56.4
2014,3,Río Negro,46.2
2014,3,Salta,29.22
2014,3,San Juan,27.85
2014,3,San Luis,9.71
2014,3,Santa Cruz,28.23
2014,3,Santa Fe,49.2
2014,3,Santiago Del Estero,16.49
2014,3,Tierra Del Fuego,65.69
2014,3,Tucumán,33.94
2014,2,Buenos Aires,55.06
2014,2,Capital Federal,113.14
2014,2,Catamarca,24.7
2014,2,Chaco,20.96
2014,2,Chubut,41.41
2014,2,Córdoba,53.45
2014,2,Corrientes,22.58
2014,2,Entre Ríos,34.69
2014,2,Formosa,17.54
2014,2,Jujuy,18.71
2014,2,La Pampa,49.71
2014,2,La Rioja,16.5
2014,2,Mendoza,32.1
2014,2,Misiones,23.37
2014,2,Neuquén,50.84
2014,2,Río Negro,45.33
2014,2,Salta,28.91
2014,2,San Juan,27.78
2014,2,San Luis,9.72
2014,2,Santa Cruz,29.38
2014,2,Santa Fe,48.39
2014,2,Santiago Del Estero,16.7
2014,2,Tierra Del Fuego,64.36
2014,2,Tucumán,33.94
2014,1,Buenos Aires,54.57
2014,1,Capital Federal,112.25
2014,1,Catamarca,24.25
2014,1,Chaco,20.72
2014,1,Chubut,41.24
2014,1,Córdoba,52.52
2014,1,Corrientes,22.32
2014,1,Entre Ríos,34.37
2014,1,Formosa,17.42
2014,1,Jujuy,18.42
2014,1,La Pampa,48.43
2014,1,La Rioja,16.29
2014,1,Mendoza,31.91
2014,1,Misiones,23.14
2014,1,Neuquén,49.79
2014,1,Río Negro,44.91
2014,1,Salta,28.7
2014,1,San Juan,27.6
2014,1,San Luis,9.35
2014,1,Santa Cruz,28.94
2014,1,Santa Fe,47.85
2014,1,Santiago Del Estero,16.31
2014,1,Tierra Del Fuego,63.97
2014,1,Tucumán,33.42
