Año,Trimestre,Provincia,Mbps (Media de bajada)
2015,1,San Luis,350.0
2015,1,Santa Cruz,347.0
2015,1,Santa Fe,406.0
2015,1,Santiago Del Estero,357.0
2015,1,Tierra Del Fuego,345.0
2015,1,Tucumán,407.0
2014,4,Buenos Aires,420.0
2014,4,Capital Federal,478.0
2014,4,Catamarca,334.0
2014,4,Chaco,398.0
2014,4,Chubut,317.0
2014,4,Córdoba,409.0
2014,4,Corrientes,381.0
2014,4,Entre Ríos,380.0
2014,4,Formosa,302.0
2014,4,Jujuy,313.0
2014,4,La Pampa,275.0
2014,4,La Rioja,358.0
2014,4,Mendoza,350.0
2014,4,Misiones,403.0
2014,4,Neuquén,385.0
2014,4,Río Negro,354.0
2014,4,Salta,386.0
2014,4,San Juan,348.0
2014,4,San Luis,350.0
2014,4,Santa Cruz,333.0
2014,4,Santa Fe,378.0
2014,4,Santiago Del Estero,346.0
2014,4,Tierra Del Fuego,347.0
2014,4,Tucumán,386.0
2014,3,Buenos Aires,397.0
2014,3,Capital Federal,444.0
2014,3,Catamarca,292.0
2014,3,Chaco,346.0
2014,3,Chubut,317.0
2014,3,Córdoba,366.0
2014,3,Corrientes,341.0
2014,3,Entre Ríos,340.0
2014,3,Formosa,266.0
2014,3,Jujuy,293.0
2014,3,La Pampa,282.0
2014,3,La Rioja,310.0
2014,3,Mendoza,350.0
2014,3,Misiones,358.0
2014,3,Neuquén,374.0
2014,3,Río Negro,348.0
2014,3,Salta,341.0
2014,3,San Juan,347.0
2014,3,San Luis,350.0
2014,3,Santa Cruz,331.0
2014,3,Santa Fe,338.0
2014,3,Santiago Del Estero,310.0
2014,3,Tierra Del Fuego,347.0
2014,3,Tucumán,335.0
2014,2,Buenos Aires,385.0
2014,2,Capital Federal,425.0
2014,2,Catamarca,292.0
2014,2,Chaco,342.0
2014,2,Chubut,316.0
2014,2,Córdoba,356.0
2014,2,Corrientes,337.0
2014,2,Entre Ríos,331.0
2014,2,Formosa,265.0
2014,2,Jujuy,277.0
2014,2,La Pampa,268.0
2014,2,La Rioja,310.0
2014,2,Mendoza,350.0
2014,2,Misiones,354.0
2014,2,Neuquén,366.0
2014,2,Río Negro,343.0
2014,2,Salta,339.0
2014,2,San Juan,347.0
2014,2,San Luis,350.0
2014,2,Santa Cruz,332.0
2014,2,Santa Fe,331.0
2014,2,Santiago Del Estero,307.0
2014,2,Tierra Del Fuego,347.0
2014,2,Tucumán,335.0
2014,1,Buenos Aires,373.0
2014,1,Capital Federal,402.0
2014,1,Catamarca,280.0
2014,1,Chaco,326.0
2014,1,Chubut,318.0
2014,1,Córdoba,339.0
2014,1,Corrientes,322.0
2014,1,Entre Ríos,317.0
2014,1,Formosa,257.0
2014,1,Jujuy,269.0
2014,1,La Pampa,265.0
2014,1,La Rioja,296.0
2014,1,Mendoza,350.0
2014,1,Misiones,340.0
2014,1,Neuquén,355.0
2014,1,Río Negro,335.0
2014,1,Salta,330.0
2014,1,San Juan,347.0
2014,1,San Luis,350.0
2014,1,Santa Cruz,332.0
2014,1,Santa Fe,315.0
2014,1,Santiago Del Estero,295.0
2014,1,Tierra Del Fuego,345.0
2014,1,Tucumán,321.0
