Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019 *,2 *,Río Negro,68.0,37.0,4.0,10.0,20.0,139.0
2019 *,2 *,Salta,69.0,62.0,725.0,1.0,9.0,143.0
2019 *,2 *,San Juan,52.0,7.0,1.0,3.0,7.0,70.0
2019 *,2 *,San Luis,11.0,10.0,347.0,57.0,38.0,117.0
2019 *,2 *,Santa Cruz,11.0,10.0,379.0,7.0,3.0,31.0
2019 *,2 *,Santa Fe,325.0,355.0,18.0,22.0,23.0,743.0
2019 *,2 *,Santiago Del Estero,24.0,65.0,219.0,3.0,35.0,127.0
2019 *,2 *,Tierra Del Fuego,20.0,26.0,651.0,0.0,1.0,47.0
2019 *,2 *,Tucumán,153.0,12.0,116.0,684.0,321.0,166.0
2019 *,1 *,Buenos Aires,1.0,2.0,336.0,65.0,20.0,4.0
2019 *,1 *,Capital Federal,328.0,1.0,32.0,4.0,4.0,1.0
2019 *,1 *,Catamarca,27.0,4.0,16.0,0.0,2.0,34.0
2019 *,1 *,Chaco,53.0,44.0,2.0,4.0,1.0,104.0
2019 *,1 *,Chubut,37.0,23.0,2.0,14.0,3.0,80.0
2019 *,1 *,Córdoba,323.0,364.0,20.0,25.0,12.0,744.0
2019 *,1 *,Corrientes,56.0,43.0,2.0,2.0,58.0,102.0
2019 *,1 *,Entre Ríos,101.0,90.0,13.0,16.0,12.0,232.0
2019 *,1 *,Formosa,23.0,8.0,940.0,14.0,62.0,45.0
2019 *,1 *,Jujuy,33.0,12.0,153.0,640.0,44.0,90.0
2019 *,1 *,La Pampa,19.0,57.0,3.0,9.0,1.0,89.0
2019 *,1 *,La Rioja,16.0,35.0,12.0,252.0,41.0,52.0
2019 *,1 *,Mendoza,149.0,40.0,6.0,10.0,2.0,206.0
2019 *,1 *,Misiones,55.0,59.0,465.0,426.0,8.0,123.0
2019 *,1 *,Neuquén,41.0,56.0,3.0,13.0,2.0,114.0
2019 *,1 *,Río Negro,68.0,34.0,4.0,10.0,5.0,121.0
2019 *,1 *,Salta,74.0,58.0,647.0,1.0,2.0,136.0
2019 *,1 *,San Juan,52.0,6.0,808.0,3.0,1.0,62.0
2019 *,1 *,San Luis,11.0,8.0,378.0,53.0,24.0,96.0
2019 *,1 *,Santa Cruz,11.0,5.0,382.0,7.0,3.0,25.0
