Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,Coronel Suárez,San José,6203070,- 0,50,- 0,795,- 0,- 0,- 0,- 0,845,
BUENOS AIRES,Coronel Suárez,Santa María,6203080,- 0,17,- 0,515,- 0,- 0,- 0,- 0,532,
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090,- 0,63,- 0,648,- 0,- 0,- 0,- 0,711,
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100,- 0,104,- 0,72,- 0,- 0,- 0,- 0,176,
BUENOS AIRES,Daireaux,Daireaux,6231030,281,- 0,- 0,- 0,194,50,- 0,339,864,
BUENOS AIRES,Daireaux,Salazar,6231060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,79,79,
BUENOS AIRES,Dolores,Dolores,6238010,"1,57","11,07",1,8,- 0,- 0,325,- 0,"12,98",
BUENOS AIRES,Dolores,Sevigne,6238020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Ensenada,Ensenada,6245010,"1,53","10,84",17,"2,92",6,- 0,- 0,"2,09","17,41",
BUENOS AIRES,Ensenada,Villa Catela,6245010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
BUENOS AIRES,Escobar,Belen de Escobar,6252010,"2,61","17,04",21,"9,34",333,1,- 0,97,"29,45",
BUENOS AIRES,Escobar,El cazador,6252010,- 0,975,- 0,"2,23",- 0,- 0,- 0,- 0,"3,2",
BUENOS AIRES,Escobar,Garín,6252010,"4,44","9,76",3,"3,65",2,2,- 0,11,"17,86",
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010,933,"4,26",3,"3,09",1,- 0,- 0,300,"8,59",
BUENOS AIRES,Escobar,Loma Verde,6252010,- 0,- 0,- 0,"1,06",- 0,- 0,- 0,- 0,"1,06",
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010,404,"4,53",- 0,14,2,- 0,- 0,14,"4,96",
BUENOS AIRES,Escobar,Matheu,6252010,"1,24","2,58",2,23,3,2,- 0,58,"3,91",
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010,237,"6,67",6,12,1,- 0,- 0,153,"7,08",
BUENOS AIRES,Esteban Echeverría,Canning,6260010,3,"3,64",- 0,"1,05",1,- 0,- 0,288,"4,98",
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010,- 0,"6,28",- 0,4,2,2,- 0,89,"6,37",
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010,4,"7,44",2,"1,76",1,- 0,- 0,77,"9,28",
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010,211,"27,78",61,"24,8",70,4,- 0,312,"53,24",
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010,2,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,164,164,
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020,359,- 0,6,82,- 0,- 0,- 0,- 0,447,
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040,2,"7,17",2,- 0,- 0,2,- 0,- 0,"7,17",
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060,"1,15",- 0,- 0,"1,91",- 0,- 0,- 0,164,"3,22",
BUENOS AIRES,Exaltación de la Cruz,El Remanso,6266030,397,- 0,- 0,335,- 0,- 0,- 0,43,775,
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,223,- 0,3,4,- 0,1,- 0,- 0,231,
BUENOS AIRES,Ezeiza,Canning,6270010,194,"1,8",1,"1,04",1,- 0,- 0,150,"3,18",
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010,343,"5,82",2,"1,31",164,2,- 0,1,"7,64",
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010,540,"14,12",13,"4,96",- 0,2,- 0,103,"19,74",
BUENOS AIRES,Ezeiza,La Unión,6270010,107,"9,13",1,752,- 0,2,- 0,- 0,"9,99",
BUENOS AIRES,Ezeiza,OTROS,Sin Datos,3,1,- 0,5,- 0,- 0,- 0,- 0,9,
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010,571,"11,16",5,900,18,- 0,- 0,8,"12,66",
BUENOS AIRES,Florencio Varela,Bosques,6274010,35,"7,7",3,"3,4",13,- 0,- 0,266,"11,42",
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010,7,"2,44",4,"4,03",- 0,- 0,- 0,- 0,"6,47",
